Afghanistan,"Almonds, with shell",34413,Official data
Afghanistan,"Anise, badian, fennel, coriander",18143,FAO data based on imputation methodology
Afghanistan,Apples,217192,Official data
Afghanistan,Apricots,18510,Official data
Afghanistan,Barley,56781,Official data
Afghanistan,Berries nes,21776,FAO data based on imputation methodology
Afghanistan,Cotton lint,13034,FAO estimate
Afghanistan,Cottonseed,25672,FAO estimate
Afghanistan,Figs,6073,FAO data based on imputation methodology
Afghanistan,"Fruit, citrus nes",2802,FAO data based on imputation methodology
Afghanistan,"Fruit, fresh nes",63702,FAO data based on imputation methodology
Afghanistan,"Fruit, stone nes",52171,FAO data based on imputation methodology
Afghanistan,Grapes,984081,Official data
Afghanistan,Linseed,1486,FAO data based on imputation methodology
Afghanistan,Maize,106670,Official data
Afghanistan,"Melons, other (inc.cantaloupes)",329241,FAO data based on imputation methodology
Afghanistan,Millet,11640,FAO data based on imputation methodology
Afghanistan,Nuts nes,1448,FAO data based on imputation methodology
Afghanistan,Olives,7770,FAO data based on imputation methodology
Afghanistan,"Onions, dry",150651,FAO data based on imputation methodology
Afghanistan,Oranges,4707,FAO data based on imputation methodology
Afghanistan,Peaches and nectarines,47935,Official data
Afghanistan,Pears,16351,FAO data based on imputation methodology
Afghanistan,Pistachios,2734,FAO data based on imputation methodology
Afghanistan,Plums and sloes,29197,FAO data based on imputation methodology
Afghanistan,Potatoes,615684,Official data
Afghanistan,Pulses nes,61778,FAO data based on imputation methodology
Afghanistan,"Rice, paddy",352177,Official data
Afghanistan,Seed cotton,39496,Official data
Afghanistan,Sesame seed,32000,Unofficial figure
Afghanistan,Spices nes,5,FAO data based on imputation methodology
Afghanistan,Sugar beet,5363,Official data
Afghanistan,Sugar cane,25421,Official data
Afghanistan,Sunflower seed,387,FAO data based on imputation methodology
Afghanistan,"Vegetables, fresh nes",591350,FAO data based on imputation methodology
Afghanistan,"Walnuts, with shell",10804,Official data
Afghanistan,Watermelons,381238,FAO data based on imputation methodology
Afghanistan,Wheat,3613300,Official data
Albania,Apples,108375,Official data
Albania,Apricots,5139,Official data
Albania,Barley,9655,Official data
Albania,"Beans, dry",24542,Official data
Albania,"Beans, green",11949,Official data
Albania,"Broad beans, horse beans, dry",207,FAO data based on imputation methodology
Albania,Cabbages and other brassicas,52857,Official data
Albania,Carrots and turnips,10236,Official data
Albania,Cauliflowers and broccoli,4648,Official data
Albania,Cherries,19210,Official data
Albania,"Cherries, sour",18366,FAO data based on imputation methodology
Albania,Chestnut,5242,Official data
Albania,"Chillies and peppers, green",81317,Official data
Albania,Cotton lint,270,FAO estimate
Albania,Cottonseed,540,FAO estimate
Albania,Cucumbers and gherkins,120351,Official data
Albania,Dates,13423,Official data
Albania,Eggplants (aubergines),31491,Official data
Albania,Figs,24448,Official data
Albania,"Fruit, citrus nes",20,Official data
Albania,"Fruit, fresh nes",3940,Official data
Albania,"Fruit, stone nes",,Data not available
Albania,Garlic,13696,Official data
Albania,Grapes,184832,Official data
Albania,Hops,1937,FAO data based on imputation methodology
Albania,"Leeks, other alliaceous vegetables",35076,Official data
Albania,Lemons and limes,3768,Official data
Albania,Lettuce and chicory,19487,Official data
Albania,Maize,391104,Official data
Albania,"Melons, other (inc.cantaloupes)",41764,Official data
Albania,Mushrooms and truffles,100,FAO estimate
Albania,Nuts nes,7954,Official data
Albania,Oats,34893,Official data
Albania,Okra,8759,FAO data based on imputation methodology
Albania,Olives,117573,Official data
Albania,"Onions, dry",100034,Official data
Albania,"Onions, shallots, green",38760,Official data
Albania,Oranges,10779,Official data
Albania,Peaches and nectarines,19472,Official data
Albania,Pears,13565,Official data
Albania,"Peas, green",4828,Official data
Albania,Plums and sloes,41241,Official data
Albania,Potatoes,254543,Official data
Albania,Pulses nes,711,FAO data based on imputation methodology
Albania,"Pumpkins, squash and gourds",18483,Official data
Albania,Quinces,4633,Official data
Albania,"Rice, paddy",0,Official data
Albania,Rye,2250,Official data
Albania,Seed cotton,820,FAO estimate
Albania,Sorghum,0,Official data
Albania,Soybeans,744,Official data
Albania,Spices nes,373,FAO data based on imputation methodology
Albania,Spinach,20552,Official data
Albania,Strawberries,4393,Official data
Albania,Sugar beet,27485,Official data
Albania,Sunflower seed,846,Official data
Albania,"Tangerines, mandarins, clementines, satsumas",30933,Official data
Albania,"Tobacco, unmanufactured",1693,Official data
Albania,Tomatoes,288626,Official data
Albania,"Vegetables, fresh nes",19298,Official data
Albania,"Vegetables, leguminous nes",93,FAO data based on imputation methodology
Albania,Vetches,2026,FAO data based on imputation methodology
Albania,Watermelons,239533,Official data
Albania,Wheat,240294,Official data
Algeria,"Almonds, with shell",57213,Official data
Algeria,Apples,487808,Official data
Algeria,Apricots,242243,Official data
Algeria,Artichokes,124659,Official data
Algeria,Bananas,319,FAO data based on imputation methodology
Algeria,Barley,1957327,Official data
Algeria,"Beans, dry",2811,Official data
Algeria,"Beans, green",93184,Official data
Algeria,"Broad beans, horse beans, dry",54878,Official data
Algeria,Cabbages and other brassicas,107412,Official data
Algeria,Carobs,2880,Official data
Algeria,Carrots and turnips,431883,Official data
Algeria,Cauliflowers and broccoli,207697,Official data
Algeria,Cherries,8818,Official data
Algeria,Chick peas,38274,Official data
Algeria,"Chillies and peppers, dry",13793,FAO data based on imputation methodology
Algeria,"Chillies and peppers, green",651045,Official data
Algeria,Cotton lint,26,FAO estimate
Algeria,Cottonseed,52,FAO estimate
Algeria,Cucumbers and gherkins,193647,Official data
Algeria,Dates,1094700,Official data
Algeria,Eggplants (aubergines),181618,Official data
Algeria,Figs,109214,Official data
Algeria,"Fruit, citrus nes",627,FAO data based on imputation methodology
Algeria,"Fruit, fresh nes",141070,Official data
Algeria,"Fruit, stone nes",26345,Official data
Algeria,"Fruit, tropical fresh nes",,Data not available
Algeria,Garlic,202201,Official data
Algeria,Grapefruit (inc. pomelos),1670,Official data
Algeria,Grapes,502978,Official data
Algeria,"Groundnuts, with shell",11886,Official data
Algeria,Lemons and limes,78798,Official data
Algeria,Lentils,29663,Official data
Algeria,Maize,4142,Official data
Algeria,Mushrooms and truffles,1874,FAO data based on imputation methodology
Algeria,Oats,118018,Official data
Algeria,Olives,860784,Official data
Algeria,"Onions, dry",1399691,Official data
Algeria,"Onions, shallots, green",365,FAO data based on imputation methodology
Algeria,Oranges,1134194,Official data
Algeria,Peaches and nectarines,190420,Official data
Algeria,Pears,200176,Official data
Algeria,"Peas, dry",11472,Official data
Algeria,"Peas, green",186203,Official data
